NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N,HasSafetyRec,ReportType,OriginalPublishDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,ReportStatus,RepGenFlag,DocketUrl,DocketPublishDate,Unnamed: 37
GAA18CA571,ACC,98387,2018-09-29 15:10:00+00:00,Ruidoso,New Mexico,United States,,N894NA,False,DirectorBrief,2020-03-20T04:00:00Z,,0,0,0,"The pilot's failure to maintain the proper descent rate during landing. Contributing to the accident were the pilot’s failure to conduct preflight performance calculations, which resulted in his operating the helicopter in high-density altitude conditions, and his lack of experience in high-altitude, mountainous flying.",,33.396667,-105.785835,EUROCOPTER,AS350,HELI,,,FALSE,1,NSCH,,135,Substantial,VMC,Trans Aero Limited,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98387,12/10/2019 5:45:00 PM,
ERA18LA268,ACC,98382,2018-09-29 12:40:00+00:00,Sebring,Florida,United States,,"N397JA, N3907T",False,DirectorBrief,2019-11-19T05:00:00Z,Minor,0,0,1,The inability of the pilot of the Piper and the student pilot and flight instructor of the Diamond to see and avoid the other airplane. Contributing to the collision was the Piper pilot’s failure to use the correct common traffic advisory frequency to announce his airplane's position.,,27.45861,-81.343055,"DIAMOND, PIPER","DA20, PA28R","AIR,AIR",SEF,Sebring Regional Airport,"FALSE,FALSE","1,1",,"INST,PERS","091,091","Substantial,Substantial",VMC,"Aamro Aviation Corporation,",Completed,False,https://data.ntsb.gov/Docket?ProjectID=98382,4/2/2019 2:19:00 PM,
GAA18CA576,ACC,98402,2018-09-29 12:30:00+00:00,Saratoga Springs,Utah,United States,,N1698K,False,DirectorBrief,2019-09-26T04:00:00Z,Minor,0,0,1,The pilot's failure to maintain directional control during the takeoff roll with crosswind conditions.,,40.244167,-111.80722,RAYMON A. KING,SUPER CUB REPLICA,AIR,,,TRUE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98402,5/13/2019 12:35:00 PM,
GAA18CA575,ACC,98401,2018-09-29 10:00:00+00:00,Spokane,Washington,United States,,N40825,False,DirectorBrief,2019-04-08T04:00:00Z,Serious,0,2,0,"The pilot’s improper retraction of the flaps during a go-around, which resulted in the airplane’s failure to climb and its subsequent collision with trees.",,47.523612,-117.459167,Piper,PA28,AIR,12WA,FOWLERS NW 40,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98401,12/14/2018 7:49:00 PM,
DCA18WA300,INC,98437,2018-09-28 17:04:00+00:00,Diagoras,,Hungary,,N917XA,False,,,,0,0,0,,,0.0,0.0,Boeing,737,AIR,,,FALSE,2,NSCH,,NUSC,,,Travel Services,,False,,,
ERA18LA265,ACC,98373,2018-09-28 13:25:00+00:00,Bartow,Florida,United States,,N4592X,False,DirectorBrief,2019-11-19T05:00:00Z,Minor,0,0,2,A total loss of engine power after the separation of the No. 3 cylinder from the crankcase due to improper maintenance.,,27.937221,-81.855552,Piper,PA32,AIR,,,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98373,12/10/2018 11:32:00 AM,
CEN18FA391,ACC,98368,2018-09-28 10:57:00+00:00,Gustavus,Alaska,United States,,N907PL,False,DirectorBrief,2020-05-19T04:00:00Z,Fatal,3,1,0,"The pilot's failure to maintain main rotor speed after setting the engine fuel control to idle, which resulted in a loss of helicopter control and impact with water.",,58.595275,-137.594451,AIRBUS HELICOPTERS INC,AS350,HELI,,,FALSE,1,,PERS,091,Destroyed,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98368,4/13/2020 12:40:00 PM,
DCA18RA292,ACC,98367,2018-09-28 04:00:00+00:00,Chuuk,,Federated States Of Micronesia,,P2-PXE,False,,,Fatal,1,4,11,,,7.456388,151.837219,BOEING,737,AIR,PTKK,Chuuk/Weno International Airpo,FALSE,,SCHD,,NUSC,Substantial,,Air Niugini,,False,,,
ANC18LA073,ACC,98392,2018-09-27 15:00:00+00:00,Fairbanks,Alaska,United States,,N70391,False,DirectorBrief,2020-06-29T04:00:00Z,,0,0,0,The total loss of engine power due to fuel exhaustion.,,64.760559,-148.596389,Cessna,A185,AIR,,,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98392,3/19/2020 10:18:00 PM,
ERA18FA264,ACC,98361,2018-09-27 13:46:00+00:00,Greenville,South Carolina,United States,,N114TD,False,DirectorBrief,2020-06-03T04:00:00Z,Fatal,2,2,0,"The operator's decision to allow a flight in an airplane with known, unresolved maintenance discrepancies, and the flight crew's failure to properly configure the airplane in a way that would have allowed the emergency or parking brake systems to stop the airplane during landing.",,34.839443,-82.348609,Dassault,FALCON 50,AIR,GMU,Greenville Downtown,FALSE,3,NSCH,,135,Substantial,VMC,Air America Flight Services INC,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98361,5/4/2020 9:18:00 AM,
ANC18WA078,ACC,98410,2018-09-27 06:26:00+00:00,Narita,,Japan,,VH-FAY,False,,,Fatal,1,0,0,,,37.070278,141.672775,CESSNA,208,AIR,,,FALSE,,,,UNK,Destroyed,,,,False,,,
DCA18WA296,INC,98379,2018-09-26 21:48:00+00:00,Tijuana,,Mexico,,XA-VOW,False,,,Minor,0,0,6,,,0.0,0.0,AIRBUS,A320,AIR,,,FALSE,,SCHD,,NUSC,,,,,False,,,
ANC18LA072,ACC,98385,2018-09-26 19:07:00+00:00,Anchorage,Alaska,United States,,N2571G,False,DirectorBrief,2020-06-08T04:00:00Z,Minor,0,0,2,The pilot's failure to avoid wake turbulence from a crossing heavy airplane.,,61.235279,-149.943054,Cessna,182,AIR,LHD,LAKE HOOD,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98385,4/28/2020 11:34:00 AM,
WPR18LA275,ACC,98364,2018-09-26 16:50:00+00:00,Malad,Idaho,United States,,N24BA,False,DirectorBrief,2022-03-03T05:00:00Z,,0,0,0,"The pilot’s failure to identify that he was not utilizing the full runway for takeoff, and his delayed decision to abort the takeoff, which resulted in a runway overrun.",,42.170555,-112.28944,Piper,PA-32RT,AIR,MLD,Malad City,FALSE,1,,FERY,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98364,2/3/2022 3:00:00 PM,
CEN18FA389,ACC,98358,2018-09-26 14:42:00+00:00,Austin,Arkansas,United States,,N534MM,False,DirectorBrief,2020-12-03T05:00:00Z,Fatal,1,0,0,The pilot's failure to maintain airplane control while maneuvering which resulted in the airplane exceeding its critical angle of attack and an accelerated stall.,,35.04,-92.019447,Vans,RV 4,AIR,,,TRUE,,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98358,10/9/2020 4:13:08 PM,
DCA18CA294,ACC,98375,2018-09-26 12:00:00+00:00,Dallas,Texas,United States,,N994AN,False,DirectorBrief,2020-07-08T04:00:00Z,Serious,0,1,0,a passenger leaving a bag in the aisle that the flight attendant tripped over.,,32.543888,-97.021942,Airbus,A321,AIR,DFW,Dallas-Fort Worth Intl,FALSE,2,SCHD,,121,,VMC,AMERICAN AIRLINES INC,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98375,10/21/2020 2:00:00 PM,
DCA18WA305,INC,98479,2018-09-26 04:00:00+00:00,Chattogram,,Bangladesh,,S2-AJA,False,,,,0,0,0,,,0.0,0.0,BOEING,737,AIR,,,FALSE,,,,NUSC,Minor,,US-Bangla Airlines,,False,,,
CEN18WA390,ACC,98359,2018-09-25 18:00:00+00:00,Buttonville,,Canada,,C-GMCT,False,,,Fatal,1,0,0,,,0.0,0.0,ROBINSON,R44,HELI,,,FALSE,1,,,NUSN,Substantial,,Essential Helicopters,,False,,,
WPR18LA272,ACC,98353,2018-09-25 11:00:00+00:00,Heber,Utah,United States,,N90339,False,DirectorBrief,2022-02-09T05:00:00Z,,0,0,0,A recent hard landing resulted in a fracture of a joint from a cylinder to a main landing gear.,,40.482776,-111.426109,SMITH,AEROSTAR601,AIR,HCR,Heber City Municipal Airport,FALSE,2,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98353,1/27/2022 12:00:00 PM,
CEN18FA387,ACC,98348,2018-09-25 06:13:00+00:00,Oscoda,Michigan,United States,,N241CK,False,DirectorBrief,2019-11-06T05:00:00Z,Fatal,1,0,0,The pilot's descent below minimum descent altitude during the nonprecision instrument approach for reasons that could not be determined based on the available information.,,44.416667,-83.485832,Beech,200,AIR,KOSC,Oscoda-Wurtsmith Airport,FALSE,2,,BUS,091,Destroyed,IMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98348,8/13/2019 5:28:00 PM,
ERA18LA271,ACC,98453,2018-09-24 17:30:00+00:00,Juana Diaz,Puerto Rico,United States,,N206WH,False,DirectorBrief,2021-07-15T04:00:00Z,Minor,0,0,3,A total loss of engine power for reasons that could not be determined based on the available information.,,18.220479,-66.58992,Bell,OH 58A,HELI,JPS,Mercedita,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98453,6/15/2021 4:00:00 PM,
